location_name,year,rate,ridit
Massachusetts,1990,24318.54562,0.012155144
Connecticut,1990,24232.80294,0.03094024
New Jersey,1990,21495.37965,0.053183856
New Hampshire,1990,19327.81875,0.071020151
Minnesota,1990,24447.40365,0.082013264
Vermont,1990,20402.68153,0.091914935
New York,1990,24152.97456,0.129341895
Rhode Island,1990,21425.43495,0.16766922
Maryland,1990,22788.00903,0.179284991
Wisconsin,1990,21068.2531,0.198709598
Virginia,1990,21472.91648,0.220996508
Colorado,1990,20685.92959,0.240054273
Delaware,1990,21114.33737,0.248003963
Pennsylvania,1990,21215.669,0.273397176
Washington,1990,22524.83028,0.307216365
District of Columbia,1990,22280.63247,0.318231976
Nebraska,1990,24872.34365,0.322653875
Iowa,1990,23795.71455,0.331442063
North Dakota,1990,23655.69714,0.338341464
Illinois,1990,24159.88982,0.362611217
Maine,1990,22097.53589,0.388076252
Michigan,1990,26132.23842,0.409222525
Oregon,1990,24973.669,0.433627543
Kansas,1990,20179.24135,0.444335246
Hawaii,1990,24526.07029,0.451530174
Ohio,1990,21486.90206,0.475593835
Montana,1990,21711.23766,0.499040184
Florida,1990,24524.62279,0.526907933
Indiana,1990,22289.87867,0.564348668
Wyoming,1990,24191.87926,0.576436934
Missouri,1990,24206.03348,0.58766008
California,1990,23672.64612,0.657242531
South Dakota,1990,22287.43393,0.717904295
Utah,1990,21193.56592,0.722671688
Nevada,1990,22608.57156,0.72844636
North Carolina,1990,22497.17249,0.744238418
Alaska,1990,23077.10919,0.758702254
Idaho,1990,22759.88433,0.761787375
Georgia,1990,22103.40318,0.776791101
Arizona,1990,29737.94624,0.797106947
Oklahoma,1990,23520.44086,0.810777733
South Carolina,1990,21374.53381,0.824133996
West Virginia,1990,25776.66663,0.834812798
Tennessee,1990,21179.71799,0.848361638
Texas,1990,23836.93755,0.892105036
Alabama,1990,22813.17181,0.934132208
Kentucky,1990,23512.84773,0.949764247
Louisiana,1990,22656.7488,0.965680335
New Mexico,1990,23036.94852,0.977144158
Arkansas,1990,23147.26195,0.984912449
Mississippi,1990,22401.63364,0.994832699
Massachusetts,1991,21682.97471,0.012088281
Connecticut,1991,24156.52672,0.030760938
New Hampshire,1991,23060.63417,0.039575836
New Jersey,1991,21889.69721,0.057360408
Minnesota,1991,21895.47885,0.081684063
Vermont,1991,23150.08795,0.091582745
Rhode Island,1991,22893.73292,0.094731451
New York,1991,21350.87544,0.132812886
Maryland,1991,22004.95682,0.178468051
Wisconsin,1991,19748.72401,0.197869058
Virginia,1991,22476.18067,0.22015891
Delaware,1991,21981.75808,0.233984656
Pennsylvania,1991,26232.9039,0.259163605
Colorado,1991,20965.19753,0.289679889
Washington,1991,22602.21484,0.306198127
District of Columbia,1991,21078.10986,0.317263644
Nebraska,1991,21658.52722,0.321644394
Iowa,1991,23369.16346,0.330355583
North Dakota,1991,21172.71828,0.337181041
Maine,1991,22154.40938,0.340913177
Illinois,1991,20358.93963,0.366221956
Michigan,1991,27588.65846,0.407612633
Oregon,1991,23003.00349,0.431908339
Kansas,1991,19107.02831,0.442610461
Hawaii,1991,23092.84761,0.449784551
Ohio,1991,21449.0649,0.47367342
Montana,1991,23466.32567,0.496943459
Florida,1991,22898.52087,0.525140628
Wyoming,1991,24099.08608,0.552635528
Indiana,1991,22484.47969,0.564650139
Missouri,1991,23101.27418,0.586039618
South Dakota,1991,22402.43935,0.597699753
